|Bank name|Customer name|Issue Type|Review|Review_Lemma|Keyword|Recency|Place|Sentiment|joy|sadness|fear|disgust|anger|Category|Issue type
70|Indian Bank|SARATH BABU|| I never spoke to any customer support with Indian bank because I will always bank with Net banking.|  i never speak to any customer support with Indian bank because i will always bank with Net banking .|customer support| Oct 29, 2017|  jorhat|-0.749738|0.174205|0.453888|0.055235|0.055893|0.133968|Customer Service| Saving Account
71|Indian Bank|TAMILARASAN BARANITHARAN|| I have a savings account with Indian bank for few years ther si a delay in response from the bankers.gold loan is the best option when it comes to indian bank,at times they do have complications to process other types of loan.|  i have a saving account with Indian bank for few year ther si a delay in response from the bankers.gold loan be the good option when it come to indian bank , at time they do have complication to proces oth type of loan .|good option| Oct 27, 2017|  namakkal|-0.692092|0.103226|0.455745|0.056776|0.024088|0.06824|Customer Service| Saving Account
75|Indian Bank|PRANAV KARANWAL||Never faced technical issues ,ATM's are working fine in my location.|never face technical issue , ATM 's be work fine in my location .|technical issue| Oct 25, 2017|  faridabad|-0.70419|0.025256|0.437628|0.020977|0.043684|0.228478|Customer Service| Saving Account
77|Indian Bank|KESAVARAMAN R||There is no much offers, still its a Government Bank.|there be no much offer , still its a Government Bank .|much offer| Oct 24, 2017|  chennai|-0.62449|0.174219|0.151545|0.093654|0.072945|0.08686|Customer Service| Saving Account
78|Indian Bank|PALANIYAPPAN SANKARAN|| I have an active savings account with Indian bank for past thirty years their service been the best as compared to other Banks in the market i have never faced technical issues|  i have an active saving account with Indian bank for past thirty year their service be the good as compare to oth Banks in the market i have never face technical issue|technical issue| Oct 23, 2017|  chennai|-0.61232|0.180289|0.493527|0.015453|0.008953|0.076831|Customer Service| Saving Account
81|Indian Bank|ROBINSTEN J||"The only downside here is the number of ATMS as it is very less.
 "|"the only downside here be the number of ATMS as it be very less . 
 "|only downside| Sep 07, 2017|  chennai|-0.919985|0.021881|0.654315|0.171785|0.084886|0.079328|Customer Service| Saving Account
82|Indian Bank|RAMACHANDRAN SUBRAMANI||Because I use the card only when needed and it does not disappoint me.|because i use the card only when need and it do not disappoint me .|need| Aug 30, 2017|  chennai|-0.715984|0.053061|0.233029|0.086748|0.044423|0.118998|Customer Service| Credit Card
83|Indian Bank|AMAN AZAMAN||There is no much benefits here.|there be no much benefit here .|much benefit| Oct 30, 2017|  guwahati|-0.575935|0.174219|0.151545|0.093654|0.072945|0.08686|Customer Service| Saving Account
84|Indian Bank|ALEKHA BEHERA||I use net banking for all the services i require and i am also satsfied with the daily withdrawal limit.|i use net banking for all the service i require and i be also satsfie with the daily withdrawal limit .|daily withdrawal limit| Oct 30, 2017|  jajpur|-0.377605|0.113301|0.168853|0.049044|0.050714|0.056677|Customer Service| Saving Account
85|Indian Bank|JAYA PRAKASH||"Furthermore, I have downloaded the statement there is no need or necessity for me to visit the Branch as I do every single thing using the internet banking too.
 "|"furthermore , i have download the statement there be no need or necessity for me to visit the Branch as i do every single thing use the internet banking too . 
 "|single thing| Oct 30, 2017|  chennai|-0.664361|0.096142|0.346551|0.055683|0.114308|0.037817|Customer Service| Saving Account
87|Indian Bank|CHINNATHAMBI VIJAYA KUMAR||The customer service is good even though their is some delay in their response.|the customer service be good even though their be some delay in their response .|delay| Oct 29, 2017|  coimbatore|-0.802504|0.034069|0.455276|0.041798|0.114799|0.217829|Customer Service| Saving Account
89|Indian Bank|AROCKIARAJ A||The customer service was average and they did not respond on time for the queries asked.|the customer service be average and they do not respond on time for the query ask .|time| Nov 17, 2017|  karur|-0.83269|0.042784|0.173898|0.083547|0.02579|0.158234|Customer Service| Saving Account
90|Indian Bank|SAMPADA SANTOSH KALBHOR||I am not happy with the ATM facilities, they have only lesser number.|i be not happy with the ATM facility , they have only less number .|less number| Nov 16, 2017|  mumbai|-0.89379|0.067822|0.348774|0.162172|0.052784|0.069829|Customer Service| Saving Account
91|Indian Bank|ARUMUGAM VEMBU||The service is very poor as compared to other banks,they need to improve on customer service because of this reason i don't transact much with my account.|the service be very poor as compare to oth bank , they nee to improve on customer service because of this reason i do n't transact much with my account .|reason| Nov 15, 2017|  chennai|-0.988992|0.149969|0.398875|0.016148|0.021363|0.075141|Customer Service| Saving Account
92|Indian Bank|PARAMATHMA IYYAPPAN||Bank is not good in term of notification, they wont send any alerts to the customer's after transaction.|Bank be not good in term of notification , they wo nt send any alert to the customer 's after transaction .|term of notification| Nov 14, 2017|  chennai|-0.957616|0.190728|0.428799|0.089999|0.024649|0.030293|Customer Service| Saving Account
93|Indian Bank|MURUGAN MAHARAJA||I do not have any major issues with them.|i do not have any major issue with them .|major issue| Nov 14, 2017|  bangalore|-0.741372|0.048487|0.312604|0.137998|0.027308|0.224792|Customer Service| Saving Account
94|Indian Bank|PRASHANTH R||Bankers response is not up to the mark.|banker response be not up to the mark .|banker response| Nov 11, 2017|  bangalore|-0.825779|0.18745|0.182897|0.051238|0.241236|0.113683|Customer Service| Saving Account
95|Indian Bank|PRASHANTH R||They don't give proper intimation if there is a charge or technical issues going to happen in my account am not satisfied with the service,will not recommend the bank.|they do n't give prop intimation if there be a charge or technical issue go to happen in my account be not satisfied with the service , will not recommend the bank .|technical issue| Nov 11, 2017|  bangalore|-0.983809|0.018293|0.352338|0.054638|0.082008|0.113406|Customer Service| Saving Account
96|Indian Bank|DINESH V|| Whenever I go to Indian bank, I should wait for the response almost they take 30 min to give reply on customer's queries.|  whenever i go to Indian bank , i should wait for the response almost they take 30 min to give reply on customer 's query .|response| Nov 20, 2017|  madurai|-0.755564|0.075662|0.533367|0.088942|0.08486|0.343257|Customer Service| Saving Account
98|Indian Bank|S VASUDEVAN||There is no much benefits for it.|there be no much benefit for it .|much benefit| Oct 06, 2017|  chennai|-0.522473|0.174219|0.151545|0.093654|0.072945|0.08686|Customer Service| Saving Account
99|Indian Bank|SRIRAM KANNAN||Their customer response is low.|their customer response be low .|customer response| Oct 06, 2017|  chennai|-0.834171|0.020488|0.397155|0.099051|0.557706|0.110338|Customer Service| Saving Account
100|Indian Bank|SRIRAM KANNAN||They wont send any alert message even two times I went to the branch and gave the request for sms alert but no use.|they wo nt send any alert message even two time i go to the branch and give the request for sm alert but no use .|request| Oct 06, 2017|  chennai|-0.778922|0.043804|0.216738|0.104038|0.039453|0.033155|Customer Service| Saving Account
102|Indian Bank|SARAVANAN K||"The response part is not good when it comes to loan
 "|"the response part be not good when it come to loan 
 "|response part| Sep 30, 2017|  coimbatore|-0.835127|0.041282|0.147854|0.026582|0.04897|0.068958|Customer Service| Saving Account
103|Indian Bank|KRISHNASAMY RAJATHI||With years of expertise in hold the account with INDIAN bank till now i did not found any difficulty.|with year of expertise in hold the account with INDIAN bank till now i do not find any difficulty .|year of expertise| Sep 27, 2017|  coimbatore|-0.504776|0.075974|0.56945|0.077714|0.032161|0.336915|Customer Service| Saving Account
104|Indian Bank|RAJMOHAN K||The response provided was really late.|the response provide be really late .|response| Jul 25, 2015|  cuddalore|-0.835542|0.272744|0.2025|0.13933|0.047711|0.222183|Customer Service| Saving Account
105|Indian Bank|LOGESH PARANTHAMAN||I am not doing lot of transactions with them.|i be not do lot of transaction with them .|lot of transaction| Jul 06, 2015|  mumbai|-0.620586|0.067336|0.063709|0.014268|0.0399|0.18965|Customer Service| Saving Account
106|Indian Bank|THENNARASU KALIYAPERUMAL|| Indian Bank is of nationalized sector so normally they are slow in response.|  Indian Bank be of nationalize sector so normally they be slow in response .|response| Jul 02, 2015|  chennai|-0.711191|0.044535|0.622976|0.142969|0.047788|0.212288|Customer Service| Education Loan
107|Indian Bank|JAY PRAKASH KUMAR||Once I approached them for debit card issue as somebody stolen my card and when I went to branch regarding the same, the people of the bank assisted very well.|once i approach them for debit card issue as somebody steal my card and when i go to branch regard the same , the people of the bank assist very well .|people of the bank assist| Apr 25, 2015|  bokaro|-0.420578|0.267856|0.14988|0.015082|0.081763|0.03393|Customer Service| Saving Account
108|Indian Bank|ANAND N||If I transact on a non bank ATM more than 5 times they would charge certain fee for it.|if i transact on a non bank atm more than 5 time they would charge certain fee for it .|time| Mar 20, 2015|  chennai|-0.738859|0.019669|0.472444|0.098724|0.214964|0.16514|Customer Service| Saving Account
109|Indian Bank|BASKAR SHUNMUGAM||No processing charge for gold loan whereas they deducted appraiser fee that is 40rupees for 10k.|no processing charge for gold loan whereas they deduct appraiser fee that be 40rupees for 10k .|processing charge| Aug 08, 2015|  pondicherry|-0.651247|0.03646|0.134383|0.024578|0.089319|0.059246|Customer Service| Other Loan
110|Indian Bank|BROWIN P||The response is slow.|the response be slow .|response| Aug 07, 2015|  chennai|-0.687875|0.0229|0.630926|0.109686|0.092786|0.332063|Customer Service| Saving Account
111|Indian Bank|VELMURUGAN JAYARAMAN||The best part about them is the payment, just in case if I failed to make the payment they can extend the days to make the payment they wont trouble me by asking for the payment.|the good part about them be the payment , just in case if i fail to make the payment they can extend the day to make the payment they wo nt trouble me by ask for the payment .|good part| Aug 06, 2015|  vellore|-0.820752|0.471826|0.074103|0.011193|0.003243|0.012815|Customer Service| Credit Card
112|Indian Bank|SUSHEEL KUMAR|| My experience with Indian bank is moderate as I could not find much offers on online for Indian bank debit card.|  my experience with Indian bank be moderate as i could not find much offer on online for Indian bank debit card .|much offer| Aug 01, 2015|  hyderabad|-0.810301|0.103529|0.57282|0.068533|0.023781|0.124085|Customer Service| Saving Account
113|Indian Bank|SUSHEEL KUMAR||I never received a single call from Indian bank so far as no much relationship or communication.|i never receive a single call from Indian bank so far as no much relationship or communication .|single call| Aug 01, 2015|  hyderabad|-0.836059|0.117985|0.648104|0.094746|0.055466|0.047511|Customer Service| Saving Account
115|Indian Bank|VIJAYAPRABO KESAVAN|| Waiting time in Indian bank is too long and if we visit their branch the officers are not that much cooperative|  wait time in Indian bank be too long and if we visit their branch the officer be not that much cooperative|time| Aug 29, 2015|  coimbatore|-0.561463|0.053229|0.593293|0.053749|0.136033|0.194877|Customer Service| Saving Account
116|Indian Bank|YUVARAJ RAJ||and I had bad experience because I did not get proper response from customer service and the process was really slow but|and i have bad experience because i do not get prop response from customer service and the proces be really slow but|bad experience| Aug 29, 2015|  chennai|-0.98577|0.01483|0.628758|0.115165|0.154359|0.326829|Customer Service| Saving Account
117|Indian Bank|SRIGAJESH RAMASAMY||and later I dis not get any response from them.|and later i di not get any response from them .|response| Aug 29, 2015|  chennai|-0.727852|0.225421|0.110354|0.07218|0.048835|0.143709|Customer Service| Saving Account
118|Indian Bank|KAMAL PANNEERSELVAM||They are lacking in the response towards the customer in the branch service and they should improve over there.|they be lack in the response towards the customer in the branch service and they should improve over there .|response| Aug 28, 2015|  chennai|-0.876425|0.072856|0.105816|0.005056|0.101802|0.109398|Customer Service| Saving Account
119|Indian Bank|DHRUBA CHAKMA||Since I am working in the same bank its easy for me to block the card in case of mishap.|since i be work in the same bank its easy for me to block the card in case of mishap .|case of mishap| Aug 25, 2015|  visakhapatnam|-0.842975|0.10016|0.593599|0.173147|0.034804|0.207875|Customer Service| Credit Card
120|Indian Bank|DHRUBA CHAKMA||They have offered a credit limit of 25000Rs for this card and they are slow in response being a government bank.|they have offer a credit limit of 25000rs for this card and they be slow in response be a government bank .|response| Aug 25, 2015|  visakhapatnam|-0.76477|0.01645|0.562937|0.078172|0.052921|0.289266|Customer Service| Credit Card
121|Indian Bank|JESU BALAN|| I am not interested in taking a personal loan with Indian Bank because they are very poor towards the customer in response.|  i be not interested in take a personal loan with Indian Bank because they be very poor towards the customer in response .|response| Aug 24, 2015|  bangalore|-0.984339|0.006136|0.477365|0.096691|0.096777|0.218759|Customer Service| Personal Loan
122|Indian Bank|VIGNESH KADIRVEL||however I have not got any response for that.|however i have not get any response for that .|response| Aug 19, 2015|  salem|-0.667346|0.177401|0.167876|0.056391|0.102092|0.151551|Customer Service| Saving Account
